decile,dt,wieghted_median,wieghted_mean,wieghted_25q,wieghted_high_75q,wieghted_sd
1,2020-04-10,0.531519290967158,0.532251549413759,0.512991743987683,0.55411549892015,0.0385558775798579
8,2020-04-10,0.593119807539693,0.59030058272748,0.567344426820447,0.61230417277081,0.0358586855535859
7,2020-04-10,0.580087176656643,0.57911899832619,0.560009348431335,0.600892803744602,0.0324198432520016
5,2020-04-10,0.555874252155445,0.552613633764283,0.531387152870662,0.571405665257911,0.0315924932677776
9,2020-04-10,0.621155535763316,0.618650301376737,0.587235428757953,0.647756822320033,0.041784062443611
2,2020-04-10,0.5316511687239,0.534335068271713,0.514593438003237,0.552751104755864,0.0302970270761799
6,2020-04-10,0.565463080635254,0.563717177463742,0.544761856136359,0.5851761849143,0.0323025170748557
8,2020-03-02,0.263944856556115,0.269156046325861,0.250259696496548,0.287460734216411,0.0306233009341474
1,2020-03-02,0.289452342741829,0.288225195448031,0.267585381831627,0.307579185818585,0.0345204261113005
3,2020-03-02,0.276525346137377,0.275213656288466,0.257587881554234,0.291375771770184,0.0282629882885522
6,2020-03-02,0.269485163562044,0.271789697640027,0.256881642610192,0.287491037733771,0.0255766156230715
5,2020-03-02,0.273006882539135,0.272408489739158,0.2552408767927,0.289372150409046,0.0268214602886464
10,2020-03-02,0.283720843447055,0.28283105724462,0.26068921217996,0.300979105814761,0.036215328026142
4,2020-03-02,0.272943855613585,0.274664758027367,0.257502590565457,0.290601717966983,0.0283701177660412
2,2020-03-02,0.277293103023457,0.280195161145385,0.259677775908689,0.293672018248256,0.0309507799888074
7,2020-03-02,0.271480759737652,0.271111416548863,0.253929129661704,0.287131277831427,0.0264517571864942
6,2020-03-30,0.521790310124239,0.521409223501096,0.503561395336353,0.537418758087464,0.034620629445943
1,2020-03-30,0.490617113370016,0.491219621279217,0.465476068126453,0.518145646605067,0.0435488839485903
5,2020-03-30,0.50826728732261,0.506099841738399,0.486511736887266,0.526048743277944,0.0325925439255182
7,2020-03-30,0.534841811898211,0.533389235662018,0.512958532492095,0.55211979955586,0.0328729460579679
3,2020-03-30,0.495978014104565,0.494983091710829,0.477098264878974,0.513226771704815,0.0336261356358352
9,2020-03-30,0.573035430493688,0.574426467861763,0.5499006663687,0.606246443672638,0.0393030433581603
10,2020-03-30,0.613922088338087,0.608514311927688,0.582362941519249,0.647391048467529,0.0577100873178349
3,2020-03-20,0.389652820082314,0.391571891597427,0.371736137335972,0.412035230234616,0.0327466558049128
4,2020-03-20,0.390560171554012,0.389637092733151,0.369175470987709,0.407507025745722,0.0323902585781975
9,2020-03-20,0.448711760256001,0.448813053211136,0.425183826867838,0.469796365998438,0.0375338781276406
6,2020-03-20,0.404053857863048,0.401547369547149,0.38446496729539,0.421234168574267,0.0328249780456476
2,2020-03-20,0.387497431036218,0.389556855778116,0.366588164162334,0.411873706318211,0.0326715509099438
7,2020-03-17,0.334596663723769,0.334691203443415,0.315464002662534,0.350972040330886,0.027669602574556
2,2020-03-17,0.331206822089734,0.334775544266991,0.320186209875388,0.351350089640668,0.0298813226320868
4,2020-03-17,0.327598567640334,0.328528096339834,0.311900132037961,0.344488297220157,0.0289936100824277
