decile,dt,dist
7,2020-05-15,0.446974555918026
7,2020-05-16,0.480006705972375
7,2020-05-17,0.552718315766128
7,2020-05-18,0.448050496911204
7,2020-05-19,0.430804262955696
7,2020-05-20,0.445205493611239
7,2020-05-21,0.451850059896444
7,2020-05-22,0.439920861353343
7,2020-05-23,0.47725380396909
7,2020-05-24,0.565249732189623
7,2020-05-25,0.501593090328138
7,2020-05-26,0.42656540466087
7,2020-05-27,0.42319510474082
7,2020-05-28,0.428449696330487
7,2020-05-29,0.403765253782522
7,2020-05-30,0.440979681680071
7,2020-05-31,0.518898597028273
7,2020-06-01,0.422988450297516
7,2020-06-02,0.440989215349918
7,2020-06-03,0.416676349667942
7,2020-06-04,0.417351534232667
7,2020-06-05,0.41584571299929
7,2020-06-06,0.429177375842111
7,2020-06-07,0.500919062324778
7,2020-06-08,0.402797602585664
7,2020-06-09,0.395161393568456
7,2020-06-10,0.406084275144055
7,2020-06-11,0.406544273770672
7,2020-06-12,0.383093402097979
7,2020-06-13,0.409787413593314
7,2020-06-14,0.53405640624378
7,2020-06-15,0.405788759536483
7,2020-06-16,0.405921555990726
7,2020-06-17,0.376560736479581
7,2020-06-18,0.392461851798577
7,2020-06-19,0.35060871462423
7,2020-06-20,0.399540349588181
7,2020-06-21,0.486900808508025
7,2020-06-22,0.398854718302621
7,2020-06-23,0.388268339818994
7,2020-06-24,0.391933216862948
7,2020-06-25,0.388874729775673
7,2020-06-26,0.390120452737685
7,2020-06-27,0.480262849692764
7,2020-06-28,0.531621168082615
7,2020-06-29,0.410423810315591
7,2020-06-30,0.401314506749062
7,2020-07-01,0.393884468662799
7,2020-07-02,0.393728808038091
7,2020-07-03,0.382453267743287
7,2020-07-04,0.40936751767689
7,2020-07-05,0.48674138436748
7,2020-07-06,0.404356344925507
7,2020-07-07,0.389725030944364
7,2020-07-08,0.38228961356814
7,2020-07-09,0.392839787000906
7,2020-07-10,0.377892120551477
7,2020-07-11,0.406351780822372
7,2020-07-12,0.478969138378802
7,2020-07-13,0.403577393992249
7,2020-07-14,0.415934806255906
7,2020-07-15,0.396244532241843
7,2020-07-16,0.394292031942121
7,2020-07-17,0.355737313085128
7,2020-07-18,0.383156846458827
7,2020-07-19,0.478579172803939
7,2020-07-20,0.390219595726014
7,2020-07-21,0.389037740500986
7,2020-07-22,0.376891961820392
7,2020-07-23,0.37541434699805
7,2020-07-24,0.373013215693531
7,2020-07-25,0.403124963033131
7,2020-07-26,0.494617454951247
7,2020-07-27,0.39012387039084
7,2020-07-28,0.384776748658807
7,2020-07-29,0.393645911831164
7,2020-07-30,0.400795518413076
7,2020-07-31,0.371025835823025
7,2020-08-01,0.398099703899652
7,2020-08-02,0.474423918072552
7,2020-08-03,0.385745440595615
7,2020-08-04,0.372714162764517
7,2020-08-05,0.357933725701416
7,2020-08-06,0.367948790080505
7,2020-08-07,0.345957729967608
7,2020-08-08,0.380862899345319
7,2020-08-09,0.443925624800577
7,2020-08-10,0.370981804464924
8,2020-03-01,0.422049435487418
8,2020-03-02,0.266191991976349
8,2020-03-03,0.282232180635529
8,2020-03-04,0.291040408369184
8,2020-03-05,0.281460988705369
8,2020-03-06,0.261929879537646
8,2020-03-07,0.31658201266019
8,2020-03-08,0.414142650873786
8,2020-03-09,0.280885446405984
8,2020-03-10,0.284082354398883
8,2020-03-11,0.268931534069508
8,2020-03-12,0.280553018276933
8,2020-03-13,0.28662467881631
8,2020-03-14,0.357191289146675
8,2020-03-15,0.429553599916334
8,2020-03-16,0.322791814419467
8,2020-03-17,0.333664596133355
8,2020-03-18,0.361140617240915
8,2020-03-19,0.389778058853381
8,2020-03-20,0.41658784221769
8,2020-03-21,0.554315636495352
8,2020-03-22,0.65976443743456
8,2020-03-23,0.539713446847907
8,2020-03-24,0.572143000582094
8,2020-03-25,0.566583150222847
8,2020-03-26,0.563169638926435
8,2020-03-27,0.539292532911454
8,2020-03-28,0.579927875595141
8,2020-03-29,0.646517485640853
8,2020-03-30,0.534587080102905
8,2020-03-31,0.523859813901664
8,2020-04-01,0.498685495603629
8,2020-04-02,0.531450109480176
8,2020-04-03,0.527295164393405
8,2020-04-04,0.548033513388102
8,2020-04-05,0.615016214184035
8,2020-04-06,0.51697427931803
8,2020-04-07,0.507771894420948
8,2020-04-08,0.501005756594066
8,2020-04-09,0.484681357537598
8,2020-04-10,0.581901570866223
8,2020-04-11,0.530454507400636
8,2020-04-12,0.588597612759835
8,2020-04-13,0.502949442767686
8,2020-04-14,0.502631448732112
8,2020-04-15,0.490945672278504
8,2020-04-16,0.463624922044835
8,2020-04-17,0.471579477420849
8,2020-04-18,0.508901385561173
8,2020-04-19,0.586990649178197
8,2020-04-20,0.500927604273241
8,2020-04-21,0.559574216855769
8,2020-04-22,0.467246570497804
8,2020-04-23,0.470728774997705
8,2020-04-24,0.455733281539717
8,2020-04-25,0.495274303648003
8,2020-04-26,0.570533267343075
8,2020-04-27,0.475202955357502
8,2020-04-28,0.467987768985259
8,2020-04-29,0.459309470124147
8,2020-04-30,0.443975971790858
8,2020-05-01,0.525579570769151
8,2020-05-02,0.485900814479126
8,2020-05-03,0.544904501298372
8,2020-05-04,0.469969852372941
8,2020-05-05,0.457299783611908
8,2020-05-06,0.456990921574714
8,2020-05-07,0.476442262967465
8,2020-05-08,0.447585186886705
8,2020-05-09,0.466721950241039
8,2020-05-10,0.510650242101871
8,2020-05-11,0.47339965283557
8,2020-05-12,0.471982543155854
8,2020-05-13,0.462314814936248
8,2020-05-14,0.469802288014879
8,2020-05-15,0.460583048745619
8,2020-05-16,0.492465956936164
8,2020-05-17,0.565508222348231
8,2020-05-18,0.458869661724251
8,2020-05-19,0.44222737997954
8,2020-05-20,0.456485870279681
8,2020-05-21,0.460580358852038
8,2020-05-22,0.457033275764457
8,2020-05-23,0.488796343614827
8,2020-05-24,0.573671353793109
8,2020-05-25,0.504672238825205
8,2020-05-26,0.437058192474633
8,2020-05-27,0.435503433435705
8,2020-05-28,0.436863935072985
8,2020-05-29,0.419251493150712
8,2020-05-30,0.442341652619858
8,2020-05-31,0.526531272362925
8,2020-06-01,0.438591105914449
8,2020-06-02,0.448619450115992
8,2020-06-03,0.425298400818309
8,2020-06-04,0.423482225782398
8,2020-06-05,0.424609088686851
8,2020-06-06,0.435531590442917
8,2020-06-07,0.510633313081567
8,2020-06-08,0.410604196312148
8,2020-06-09,0.407057101054039
8,2020-06-10,0.411080858405658
8,2020-06-11,0.40848368479931
8,2020-06-12,0.387349420774658
8,2020-06-13,0.413952672846782
8,2020-06-14,0.538915257719846
8,2020-06-15,0.412138151842749
8,2020-06-16,0.415251587604956
8,2020-06-17,0.385188999638413
8,2020-06-18,0.399861802194663
8,2020-06-19,0.361295092781207
8,2020-06-20,0.402018290368346
8,2020-06-21,0.490406862722586
8,2020-06-22,0.407117451419102
8,2020-06-23,0.398653814744771
8,2020-06-24,0.393744239409584
8,2020-06-25,0.393741924638186
8,2020-06-26,0.394899422848993
8,2020-06-27,0.486377834642634
8,2020-06-28,0.53432460266108
8,2020-06-29,0.422498958903022
8,2020-06-30,0.411642839050532
8,2020-07-01,0.411016769483427
8,2020-07-02,0.40566311921998
8,2020-07-03,0.392164963990877
8,2020-07-04,0.413203232948987
8,2020-07-05,0.497585947115103
8,2020-07-06,0.415512745505561
8,2020-07-07,0.394179888810082
8,2020-07-08,0.393086226079734
8,2020-07-09,0.402003875246789
8,2020-07-10,0.389093057604426
8,2020-07-11,0.410455578272829
8,2020-07-12,0.487549306508789
8,2020-07-13,0.412876061551684
8,2020-07-14,0.423659100539187
8,2020-07-15,0.40607301707258
8,2020-07-16,0.400359902289864
8,2020-07-17,0.357702079681826
8,2020-07-18,0.385244454999273
8,2020-07-19,0.481963404588804
8,2020-07-20,0.403225464217922
8,2020-07-21,0.395905195737932
8,2020-07-22,0.382282640585229
8,2020-07-23,0.390752123950843
8,2020-07-24,0.388227850551301
8,2020-07-25,0.404190776109672
8,2020-07-26,0.502852233205118
8,2020-07-27,0.40071805917916
8,2020-07-28,0.39833857358903
8,2020-07-29,0.399724290447008
8,2020-07-30,0.402976717023487
8,2020-07-31,0.384505516913428
8,2020-08-01,0.408261656349513
8,2020-08-02,0.479363829363522
8,2020-08-03,0.386858652802392
8,2020-08-04,0.380266116069225
8,2020-08-05,0.365942616263074
8,2020-08-06,0.373742969863738
8,2020-08-07,0.351963299250241
8,2020-08-08,0.383156796953702
8,2020-08-09,0.442775588086226
8,2020-08-10,0.380639959607116
9,2020-03-01,0.423999556427768
9,2020-03-02,0.270977694965444
9,2020-03-03,0.283971649563701
9,2020-03-04,0.285175213840244
9,2020-03-05,0.281592052477967
9,2020-03-06,0.258102323526153
9,2020-03-07,0.317703880278477
9,2020-03-08,0.420073923220426
9,2020-03-09,0.283852869385717
9,2020-03-10,0.283121658545318
9,2020-03-11,0.271669144014975
9,2020-03-12,0.28609560970089
9,2020-03-13,0.293153038510455
9,2020-03-14,0.361077771283768
9,2020-03-15,0.43513626386768
9,2020-03-16,0.332718041100253
9,2020-03-17,0.346039008107946
9,2020-03-18,0.374731196120926
9,2020-03-19,0.405120069280808
9,2020-03-20,0.435210888607582
9,2020-03-21,0.57365571591854
9,2020-03-22,0.670416643046159
9,2020-03-23,0.561233942439367
9,2020-03-24,0.591423540733182
9,2020-03-25,0.585124576923087
